# Black: GNU Go
# BlackCommand: gnugo --mode gtp
# BlackLabel: GNU Go
# BlackVersion: 3.8
# Date: December 4, 2011 2:31:01 AM PST
# Host: dleary-macbook
# Komi: 6.5
# Referee: -
# Size: 9
# White: cy-kill
# WhiteCommand: /Users/dleary/dev/cy-kill/cy-kill "seed_rng 42"
# WhiteLabel: cy-kill
# WhiteVersion: 0.1
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
317	B+87.5	?	?	1	-	70	18.5	7.8	18.5	0	0	
318	B+73.5	?	?	0	-	53	25.2	6.3	25.9	0	0	
319	B+87.5	?	?	1	-	72	13.1	8	13.1	0	0	
320	B+72.5	?	?	0	-	67	30.5	7.6	30.4	0	0	
321	B+85.5	?	?	1	-	72	28	8.2	28	0	0	
322	B+73.5	?	?	0	-	67	21.8	7.6	21.8	0	0	
323	B+87.5	?	?	1	-	74	20.8	8.1	20.7	0	0	
324	B+72.5	?	?	0	-	69	21.5	7.9	21.5	0	0	
325	B+87.5	?	?	1	-	66	25.3	7.6	25.3	0	0	
326	B+73.5	?	?	0	-	65	21.8	7.4	21.8	0	0	
327	B+87.5	?	?	1	-	64	12.7	7.4	12.8	0	0	
328	B+73.5	?	?	0	-	53	23.8	6.3	24	0	0	
329	B+63.5	?	?	1	-	72	10.5	7.7	10.5	0	0	
330	B+73.5	?	?	0	-	75	11.8	8.3	11.8	0	0	
331	B+85.5	?	?	1	-	54	23.7	6.6	23.9	0	0	
332	B+73.5	?	?	0	-	63	20.6	7.2	20.6	0	0	
333	B+87.5	?	?	1	-	70	25.7	7.8	25.7	0	0	
334	B+81.5	?	?	0	-	94	17.5	9.8	17.5	0	0	
335	B+87.5	?	?	1	-	66	10.3	7.5	10.4	0	0	
336	B+72.5	?	?	0	-	71	17.4	8	17.4	0	0	
337	B+87.5	?	?	1	-	64	11.4	7.3	11.6	0	0	
338	B+85.5	?	?	0	-	90	16.7	9.5	16.5	0	0	
339	B+84.5	?	?	1	-	74	14.9	8.3	15	0	0	
340	B+72.5	?	?	0	-	67	20.6	7.6	20.6	0	0	
341	B+87.5	?	?	1	-	66	40.5	7.7	40.5	0	0	
342	B+80.5	?	?	0	-	84	31.6	9	31.5	0	0	
343	B+87.5	?	?	1	-	62	22	7.3	21.9	0	0	
344	B+79.5	?	?	0	-	84	33.2	8.9	33	0	0	
345	B+86.5	?	?	1	-	68	27.6	7.8	27.6	0	0	
346	B+72.5	?	?	0	-	67	27.8	7.6	27.7	0	0	
347	B+87.5	?	?	1	-	66	15.3	7.5	15.3	0	0	
348	B+73.5	?	?	0	-	75	33.5	8.1	33.4	0	0	
349	B+86.5	?	?	1	-	68	24.6	7.9	24.6	0	0	
350	B+74.5	?	?	0	-	62	11.9	7.3	11.9	0	0	
351	B+86.5	?	?	1	-	68	32.7	7.7	32.6	0	0	
352	B+73.5	?	?	0	-	69	42.3	7.8	42	0	0	
353	B+87.5	?	?	1	-	72	36.6	8	36.5	0	0	
354	B+75.5	?	?	0	-	76	34.1	8.3	33.9	0	0	
355	B+87.5	?	?	1	-	72	22.6	8.1	22.6	0	0	
356	B+74.5	?	?	0	-	74	31.3	8.3	31.2	0	0	
357	B+86.5	?	?	1	-	74	22.9	8.2	22.8	0	0	
358	B+79.5	?	?	0	-	84	16.4	9	16.3	0	0	
359	B+87.5	?	?	1	-	70	19.4	7.9	19.4	0	0	
360	B+72.5	?	?	0	-	67	16.8	7.6	16.9	0	0	
361	B+87.5	?	?	1	-	64	16.3	7.5	16.3	0	0	
362	B+73.5	?	?	0	-	67	19.7	7.7	19.7	0	0	
363	B+87.5	?	?	1	-	68	40.3	7.8	40	0	0	
364	B+73.5	?	?	0	-	59	11.8	6.8	11.8	0	0	
365	B+87.5	?	?	1	-	66	13	7.5	13	0	0	
366	B+82.5	?	?	0	-	90	23.4	9.4	23.3	0	0	
367	B+87.5	?	?	1	-	66	20.7	7.6	20.6	0	0	
368	B+73.5	?	?	0	-	74	21.8	8.2	21.7	0	0	
369	B+86.5	?	?	1	-	66	16.9	7.7	17	0	0	
370	B+73.5	?	?	0	-	47	19	5.7	19.4	0	0	
371	B+87.5	?	?	1	-	62	15.8	7.3	15.9	0	0	
372	B+77.5	?	?	0	-	78	24	8.4	23.9	0	0	
373	B+87.5	?	?	1	-	68	22.2	7.8	22.1	0	0	
